StationName,NLC,Operator,EntriesStandard,EntriesReduced,EntriesSeasons,ExitsStandard,ExitsReduced,ExitsSeasons,TotalEntriesandExits
Canley,1129,HG,8661,9765,918,8560,9791,918,38613
CanningTown,6963,HP,1470,2127,3478,10705,2440,3478,23698
Cannock,1016,HG,14236,28307,36,15734,28440,36,86789
Canonbury,1441,HP,10267,10819,7896,11084,12130,7896,60092
CanterburyEast,5164,HU,26672,138013,43946,18579,92541,43946,363697
CanterburyWest,5007,HU,129147,414842,257275,137036,448505,257275,1644080
Cantley,7292,HS,3198,2138,723,3555,2136,723,12473
Capenhurst,2186,HE,11845,5668,3156,16431,5676,3156,45932
CarbisBay,3542,HK,10819,10176,207,12834,10541,207,44784
Cardenden,9112,HA,5222,4169,1952,4141,4171,1952,21607
CardiffButeRd,3815,HL,14618,14548,18047,13879,14548,18047,93687
CardiffCentral,3899,HJ,712631,1852879,376631,690890,1849253,376631,5858915
CardiffQueenSt,3900,HL,162542,264650,153223,130418,264600,153223,1128656
Cardonald,9624,HA,18384,10556,8193,21330,10557,8193,77213
Cardross,9969,HA,24842,19574,40990,28061,19574,40990,174031
Carfin,9877,HA,8094,6769,1233,9166,6769,1233,33264
Cark&Cartmel,1964,HD,11259,7588,3136,11271,7598,3136,43988
Carlisle,2118,HF,140691,277564,46743,138031,277222,46743,926994
Carlton,6201,HG,5931,2861,2038,5589,3189,2038,21646
Carluke,9702,HA,31804,27073,24329,33650,27077,24329,168262
Carmarthen,4068,HK,37659,73756,13311,36837,73705,13311,248579
Carmyle,9769,HA,14988,10854,3263,18337,10854,3263,61559
Carnforth,2640,HD,19822,28225,6624,20599,28270,6624,110164
Carnoustie,9028,HA,5638,4927,3379,5200,4934,3379,27457
Carntyne,9897,HA,36108,17885,8126,39128,17885,8126,127258
CarpendersPark,1442,HP,34206,87938,61630,18821,99784,61630,364009
Carrbridge,8621,HA,603,448,61,746,446,61,2365
Carshalton,5405,HW,44518,68675,147189,28314,78261,147189,514146
CarshaltonBeech,5406,HW,38225,60682,130006,31577,61420,130006,451916
Carstairs,9704,HA,1757,1200,858,1741,1204,858,7618
Cartsdyke,9680,HA,14387,11369,5989,14915,11456,5989,64105
CastleBarPark,3098,HN,3705,5235,3590,1789,5842,3590,23751
CastleCary,5703,HK,16393,42807,3244,15624,42729,3244,124041
Castleford,8359,HC,44981,61309,1916,49062,57709,1916,216893
CastletonManchr,2919,HD,9918,14497,5415,10463,15627,5415,61335
CastletonMoor,7914,HC,1259,1539,9983,1218,1540,9983,25522
Caterham,5351,HW,30473,87199,99613,29791,92911,99613,439600
Catford,5077,HU,44001,81128,161636,38460,116907,161636,603768
CatfordBridge,5047,HU,48551,109621,306883,16782,96691,306883,885411
Cathays,3820,HL,33878,38868,34401,36621,38887,34401,217056
Cathcart,9795,HA,69698,39259,29715,71948,39258,29715,279593
Cattal,8232,HC,6472,4558,3836,6981,4558,3836,30241
Causeland,3568,HK,771,353,0,821,353,0,2298
CefnYBedd,2425,HD,4707,213,149,5116,213,149,10547
ChadwellHeath,6874,HR,89214,94524,389098,62912,104963,389098,1129809
ChaffordHundred,7447,HT,16122,62027,39131,22304,64084,39131,242799
Chalkwell,7469,HT,32994,65332,221791,27855,70499,221791,640262
ChapelEnLeFrh,2762,HD,4372,14268,986,4416,14991,986,40019
ChapeltonDevon,5820,HK,122,113,153,161,116,153,818
ChapeltownYorks,6664,HC,28201,38288,7354,30241,36659,7354,148097
Chappel&WColn,7051,HR,939,4127,4693,966,4150,4693,19568
CharingKent,5097,HU,4584,9794,9131,3804,12282,9131,48726
CharingXGlasgw,9911,HA,293672,218743,241676,322549,218746,241676,1537062
Charlbury,3004,HN,25336,56669,24843,25377,59075,24843,216143
Charlton,5144,HU,62153,149907,235383,32866,156120,235383,871812
Chartham,5008,HU,5812,6529,3230,7210,7505,3230,33516
ChassenRoad,2947,HD,4177,3316,1724,3169,4669,1724,18779
Chatham,5199,HU,158502,401203,657689,145781,419310,657689,2440174
Chathill,7792,HC,288,152,217,388,155,217,1417
CheadleHulme,2870,HD,65489,113137,44470,63049,117521,44470,448136
Cheam,5352,HW,41945,67458,143951,32384,72349,143951,502038
Cheddington,1372,HP,4204,10879,21364,2857,15272,21364,75940
ChelfordChes,2764,HD,4874,6526,1312,5819,6533,1312,26376
ChelmsfordEssex,6836,HR,228665,720218,1438795,188939,772904,1438795,4788316
Chelsfield,5098,HU,29369,20092,217292,17924,26194,217292,528163
CheltenhamSpa,4731,HK,82449,248043,33214,86363,248105,33214,731388
Chepstow,3774,HK,12907,23566,6194,15189,23816,6194,87866
CherryTree,2573,HD,5232,5014,2399,5672,4996,2399,25712
Chertsey,5553,HY,29024,42702,116760,34257,43748,116760,383251
Cheshunt,6814,HQ,100446,101645,280261,88304,101964,280261,952881
ChessingtonN,5582,HY,19824,37707,50960,9917,38201,50960,207569
ChessingtonS,5554,HY,15544,59741,18812,14948,63295,18812,191152
Chester,2412,HD,244884,649682,80313,229363,651551,80313,1936106
ChesterLeSt,7736,HC,21831,4977,6643,22679,4985,6643,67758
ChesterRoad,1130,HG,45179,45756,2091,45907,45744,2091,186768
Chesterfield,6615,HI,124159,231171,47075,131212,231264,47075,811956
Chestfield&S,5200,HU,6314,11758,34503,6359,13245,34503,106682
Chetnole,5840,HK,356,482,0,568,484,0,1890
Chichester,5255,HW,128447,376325,202232,123445,369747,202232,1402428
Chilham,5009,HU,2275,5643,2582,2016,7109,2582,22207
Chilworth,5296,HN,2128,1476,3620,2297,1664,3620,14805
Chingford,6914,HQ,73699,96217,266431,61817,96827,266431,861422
Chinley,2823,HD,7685,10956,3010,8854,10951,3010,44466
Chippenham,3267,HJ,120777,210781,138661,122736,213819,138661,945435
Chipstead,5353,HW,5129,4707,21781,3099,6282,21781,62779
Chirk,4449,HG,5137,9623,1336,6166,9669,1336,33267
Chislehurst,5099,HU,71104,86228,203749,39590,100365,203749,704785
Chiswick,5583,HY,38355,27695,23616,36386,28893,23616,178561
Cholsey,3031,HN,18581,30751,45949,21921,32193,45949,195344
Chorley,2745,HD,102508,69594,48050,103969,71024,48050,443195
Christchurch,5879,HY,32472,78890,92185,32051,80164,92185,407947
ChristsHospital,5319,HW,4052,12879,17791,3605,13987,17791,70105
Church&Oswald,2556,HD,6745,4403,2371,7180,4419,2371,27489
ChurchFenton,8233,HC,10550,1929,6001,11012,1931,6001,37424
ChurchStretton,4365,HK,12415,22175,9621,13018,22238,9621,89088
Cilmeri,3785,HK,164,156,0,177,173,0,670
CityThameslink,5121,HX,243913,1636023,3820091,337343,1590871,3820091,11448332
Clacton,6850,HR,16020,157283,96980,18101,161384,96980,546748
Clandon,5555,HY,13521,19602,38122,7507,25906,38122,142780
ClaphamHighSt,5301,HW,2244,2768,4454,3342,4539,4454,21801
ClaphamJunction,5595,HY,723903,1275759,1658451,661309,1323093,1658451,7300966
ClaphamYorks,2653,HC,2505,646,191,2325,645,191,6503
Clapton,6926,HQ,28219,60573,117414,19836,64733,117414,408189
ClarbestonRoad,4069,HK,1066,1155,421,1091,1157,421,5311
Clarkston,9792,HA,81275,60365,51570,83654,60369,51570,388803
Claverdon,4593,HG,1148,217,179,1185,208,179,3116
Claygate,5556,HY,35119,60606,108034,25619,74489,108034,411901
Cleethorpes,6274,HC,31192,47084,1440,31782,47279,1440,160217
Cleland,9718,HA,8835,6511,1393,10822,6511,1393,35465
CliftonDown,3202,HK,34539,3648,6449,39048,3653,6449,93786
CliftonManchr,2795,HD,74,20,247,127,32,247,747
Clitheroe,2574,HD,25576,49228,5483,19341,49758,5483,154869
ClockHouse,5048,HU,37746,53656,167667,21359,66470,167667,514565
Clunderwen,4070,HK,1391,1675,41,1494,1675,41,6317
Clydebank,9855,HA,63084,60493,71258,73355,60500,71258,399948
CoatbridgeCtl,9747,HA,10614,6979,1529,16726,6985,1529,44362
CoatbridgeSside,9752,HA,63209,51018,29561,64063,51017,29561,288429
Coatdyke,9762,HA,40672,27878,15569,37710,27879,15569,165277
Cobham&StokeD,5557,HY,41225,72569,112982,30702,90995,112982,461455
Codsall,4616,HG,5379,5065,10638,5622,5093,10638,42435
Cogan,3828,HL,15848,25652,15612,19621,25649,15612,117994
Colchester,6861,HR,102776,621925,820265,102639,641292,820265,3109162
ColchesterTown,6853,HR,10453,37184,21966,1865,30662,21966,124096
Collingham,6349,HG,6856,317,988,7242,313,988,16704
Collington,5457,HW,6578,11825,8037,7816,13448,8037,55741
Colne,2562,HD,10115,15273,4036,9813,15321,4036,58594
Colwall,4876,HG,8087,7463,3486,9855,7620,3486,39997
ColwynBay,2451,HD,28210,87225,11525,25811,87109,11525,251405
CombeOxon,3005,HN,360,50,238,405,52,238,1343
Commondale,7515,HC,408,765,720,537,765,720,3915
Congleton,1227,HD,21061,14922,11195,22772,14941,11195,96086
Conisbrough,6488,HC,6340,12825,1818,6332,12338,1818,41471
ConnelFerry,8708,HA,716,857,234,1027,859,234,3927
Cononley,8470,HC,20003,3360,7289,20961,3341,7289,62243
Conwy,2486,HD,2004,3772,338,2778,3880,338,13110
CoodenBeach,5458,HW,7731,23046,11580,7378,23917,11580,85232
Cookham,3019,HN,15950,28295,35222,18915,31291,35222,164895
Cooksbridge,5336,HW,1007,1257,9249,880,1597,9249,23239
CoombeCornwall,3570,HK,11,39,0,38,39,0,127
Copplestone,5821,HK,203,87,653,274,84,653,1954
Corbridge,7504,HC,7948,13085,1961,11045,13097,1961,49097
Corby,1847,HG,29,274,0,66,273,0,642
Corkickle,2049,HD,2148,302,2866,2380,303,2866,10865
Corpach,8824,HA,668,94,0,611,95,0,1468
Corrour,8825,HA,3351,1275,0,4629,1275,0,10530
Coryton,3905,HL,15400,25410,11552,14044,25403,11552,103361
Coseley,1143,HG,15909,23604,136,16954,23647,136,80386
Cosford,4617,HG,9476,13703,2036,9514,13921,2036,50686
Cosham,5896,HY,76607,123243,49866,74725,121352,49866,495659
Cottingham,8056,HC,36249,42023,39743,39805,42031,39743,239594
Cottingley,8505,HC,6438,3137,1014,6634,2638,1014,20875
CoulsdonSouth,5408,HW,42943,93863,205412,30760,113337,205412,691727
Coventry,1030,HF,316760,657991,81603,317893,654687,81603,2110537
CowdenKent,5409,HW,319,1080,1955,301,1683,1955,7293
Cowdenbeath,9185,HA,14987,20468,6767,16457,20490,6767,85936
CradleyHeath,4639,HG,38049,52901,7839,36362,55126,7839,198116
Craigendoran,9970,HA,14922,15491,34964,14364,16095,34964,130800
Cramlington,7579,HC,8794,1573,2381,7973,1580,2381,24682
CravenArms,3634,HK,7770,13081,2933,8210,13147,2933,48074
Crawley,5484,HW,71288,301385,165801,74125,302472,165801,1080872
Crayford,5100,HU,35872,58918,276765,23806,66405,276765,738531
Crediton,5754,HK,5234,7293,2208,6217,7307,2208,30467
CressingEssex,6837,HR,192,2016,12372,1487,3359,12372,31798
Cressington,2225,HE,19073,29522,490,19045,29961,490,98581
Crewe,1243,HF,221498,389293,96863,209100,389903,96863,1403520
Crewkerne,5832,HY,4382,32596,1056,4625,32977,1056,76692
CrewsHill,6007,HQ,1923,4270,1400,6506,4256,1400,19755
Crianlarich,8826,HA,3647,1895,0,3475,1897,0,10914
Criccieth,4312,HG,3184,4932,314,2879,5125,314,16748
Cricklewood,1519,HX,19666,58223,76261,11018,64219,76261,305648
Croftfoot,9778,HA,32113,20999,27112,29717,20999,27112,158052
CroftonPark,5078,HU,24094,33687,93288,11066,39793,93288,295216
Cromer,7295,HS,13191,18936,189,14880,19006,189,66391
Cromford,1822,HG,4289,4264,87,4470,4272,87,17469
CrossGates,8473,HC,85666,44709,12783,81575,41460,12783,278976
Crossflatts,8554,HC,25859,23407,3076,30535,22018,3076,107971
Crosshill,9814,HA,38996,24265,122691,45136,24268,122691,378047
Crossmyloof,9796,HA,56335,28992,31746,60029,28991,31746,237839
Croston,2313,HD,9375,11959,705,9926,11963,705,44633
CrouchHill,7406,HP,10589,5842,4004,10086,6019,4004,40544
Crowborough,5325,HW,6797,14224,29167,5174,15928,29167,100457
Crowhurst,5233,HU,1479,5794,9006,1530,6728,9006,33543
Crowle,6524,HC,4019,3098,729,3240,3099,729,14914
Crowthorne,5628,HN,26122,36620,43396,34694,38435,43396,222663
CroxleyGreen,1396,HP,26,99,495,53,171,495,1339
Croy,9943,HA,52109,35953,32589,54651,35959,40150,251411
Crumpsall,2876,MM,3,1,0,7,1,0,12
CrystalPalace,5356,HW,51039,115525,134244,30201,129359,134244,594612
Cuddington,2305,HD,9267,10459,1635,10271,10467,1635,43734
Cuffley,6008,HQ,43299,47518,150790,37277,47755,150790,477429
Culham,3107,HN,2658,1593,4430,3034,1672,4430,17817
Culrain,8625,HA,694,359,0,648,360,0,2061
Cumbernauld,9721,HA,42207,28640,15618,45598,28652,15618,176333
Cupar,9121,HA,16786,30682,6640,18666,30711,6640,110125
Curriehill,9218,HA,10722,4484,5363,8994,4483,5363,39409
CustomHouse,6964,HP,2938,5557,11821,2478,8098,11821,42713
Cuxton,5201,HU,7025,11804,8051,6277,14297,8051,55505
Cwmbach,3981,HL,3789,6423,1402,3422,6421,1402,22859
Cwmbran,3738,HK,20728,39215,8175,23252,39281,8175,138826
Cynghordy,4147,HK,423,513,0,551,638,0,2125
DagenhamDock,7440,HT,7929,3796,15030,9558,3795,15030,55138
DaisyHill,2777,HD,12995,19851,10494,10505,22073,10494,86412
DalgetyBay,9135,HA,145,197,966,138,196,966,2608
Dalmally,8711,HA,516,414,5,588,417,5,1945
Dalmarnock,9790,HA,17152,10092,3274,16804,10092,3274,60688
Dalmeny,9415,HA,41170,19358,40652,46341,19360,40652,207533
Dalmuir,9992,HA,141743,77402,31828,159678,77402,31828,519881
Dalreoch,9864,HA,48269,31727,77372,42263,31727,77372,308730
Dalry,9483,HA,23684,18228,17854,27673,18231,17854,123524
DalstonCumbria,2077,HD,6112,99,922,6304,101,922,14460
DalstonKingslnd,1429,HP,36298,77873,118493,23842,77243,118493,452242
DaltonCumbria,1957,HD,3808,4710,943,3918,4710,943,19032
Dalwhinnie,8628,HA,576,363,0,779,362,0,2080
Danby,7915,HC,1340,2543,5141,1517,2550,5141,18232
Danescourt,3797,HL,6432,6656,4343,6658,6658,4343,35090
Danzey,4519,HG,1275,1167,5,1377,1276,5,5105
Darlington,7877,HB,262655,354051,81190,260886,353735,81190,1393707
Darnall,6729,HC,894,652,729,854,657,729,4515
Darsham,7211,HS,3528,6257,114,4089,6274,114,20376
Dartford,5101,HU,142388,419078,545655,135718,418786,545655,2207280
Darton,8420,HC,15573,21055,4285,15231,20902,4285,81331
Darwen,2576,HD,15309,30844,5373,18091,31634,5373,106624
Datchet,5668,HY,19077,35961,33594,19957,41431,33594,183614
DavenportManchr,2770,HD,19900,26063,15898,18089,28545,15898,124393
Dawlish,3408,HK,24437,58502,55010,24050,58512,55010,275521
DawlishWarren,3409,HK,2864,17857,1624,5670,17856,1624,47495
Deal,5011,HU,26368,84433,77477,24143,87985,77477,377883
DeanLane,2877,HD,2816,7019,2705,2945,8215,2705,26405
DeanWilts,5942,HK,1469,1023,528,1631,1036,528,6215
Deansgate,2963,MM,2713,8258,2350,3042,6428,2350,25141
Deepdene,5412,HN,812,1432,6391,782,1330,6391,17138
Deganwy,2480,HD,2624,506,2338,3162,559,2338,11527
Deighton,8441,HC,6814,4682,391,5990,3356,391,21624
Delamere,2306,HD,2334,5261,400,2750,5267,400,16412
DenbyDale,8432,HC,7146,10978,1644,8809,10964,1644,41185
Denham,3052,HO,11963,26956,18782,10206,27024,18782,113713
DenhamGolfClub,3060,HO,1454,2476,3060,2420,2480,3060,14950
DenmarkHill,5421,HU,62059,157349,264347,55286,152635,264347,956023
Dent,2103,HC,3487,1209,0,3707,1219,0,9622
Denton,2855,HD,8,85,0,13,86,0,192
Deptford,5145,HU,25935,51063,63660,22003,51439,63660,277760
Derby,1823,HI,315006,565987,115107,317631,563966,115107,1992804
DerbyRdIpswich,7212,HS,2511,4801,369,2634,4809,369,15493
Derker,2652,HD,3285,5886,1506,2928,6413,1506,21524
DevonportDevon,3579,HK,10712,4092,3488,12304,4105,3488,38189
Dewsbury,8326,HC,115418,144678,8845,112970,150775,8845,541531
DidcotParkway,3030,HJ,156013,310203,350617,154206,315168,350617,1636824
DigbyandSowton,5753,HK,10193,5905,8101,10180,5906,8101,48386
DiltonMarsh,5502,HK,1971,1681,1353,2107,1679,1353,10144
DinasMidGlam,3901,HL,5107,12488,3325,5336,12478,3325,42059
DinasPowys,3830,HL,16476,31427,12362,21000,31438,12362,125065
DingleRoad,3861,HL,2037,4379,815,2636,4381,815,15063
Dingwall,8632,HA,9698,3096,190,5768,3093,190,22035
Dinsdale,7897,HC,3182,1347,2117,2798,1347,2117,12908
Dinting,2893,HD,9304,8279,7052,7913,9143,7052,48743
Disley,2765,HD,10038,19601,866,9329,19932,866,60632
Diss,7348,HS,26401,84550,28272,29349,85379,28272,282223
Ditton,2289,HG,3,0,0,3,0,0,6
DockyardDevonpt,3588,HK,1749,988,324,1632,988,324,6005
Dodworth,6781,HC,2128,5254,807,2146,5295,807,16437
Dolau,4188,HK,385,257,0,348,277,0,1267
Doleham,5036,HU,100,542,630,149,660,630,2711
Dolgarrog,2538,HD,523,19,0,538,20,0,1100
Dolwyddelan,2452,HD,4850,294,1407,4824,298,1407,13080
Doncaster,6417,HB,366035,578609,151997,368312,583480,151997,2200430
DorchesterSouth,5961,HY,39329,138969,42224,37706,138472,42224,438924
DorchesterWest,5962,HK,20,73,0,29,71,0,193
Dore,6690,HD,11927,6805,2265,11341,6835,2265,41438
Dorking,5357,HW,89612,214320,211695,86183,226178,211695,1039683
DorkingWest,5297,HN,48,99,264,51,91,264,817
Dormans,5413,HW,3146,7807,32012,1969,10341,32012,87287
Dorridge,4525,HG,34881,56707,7818,32708,57685,7818,197617
DoveHoles,2766,HD,879,3103,493,1727,3169,493,9864
DoverPriory,5033,HU,80048,278090,81022,81806,263651,81022,865639
Dovercourt,6901,HR,4013,27602,21529,3782,27331,21529,105786
DoveyJunction,4436,HG,496,189,5,613,196,5,1504
DownhamMarket,7055,HQ,18195,48557,21419,19605,50173,21419,179368
DraytonGreen,3099,HN,2179,2571,2000,1801,2302,2000,12853
DraytonPark,6000,HQ,19348,4876,11827,9190,4788,11827,61856
Drem,9317,HA,14267,6053,7926,17091,6055,7926,59318
Driffield,8057,HC,25645,30612,23807,27493,30612,23807,161976
Drigg,1994,HD,1021,386,233,988,393,233,3254
DroitwichSpa,4878,HG,74570,27768,35090,82572,27450,35090,282540
Dronfield,6616,HG,5660,533,1125,4554,530,1125,13527
Drumchapel,9994,HA,74072,42897,16118,77552,42897,16118,269654
Drumgelloch,9757,HA,25522,17297,12135,26399,17296,12135,110784
Drumry,9993,HA,45726,32906,11308,42179,32905,11308,176332
Duddeston,1040,HG,13998,9381,1712,13713,9398,1712,49914
DudleyPort,1212,HG,17724,23588,1359,17677,23471,1359,85178
Duffield,1691,HG,6594,3133,1093,6246,3147,1093,21306
Duirinish,8681,HA,70,46,0,117,46,0,279
DukeStreet,9906,HA,4497,1528,1222,5219,1528,1222,15216
Dullingham,7027,HS,2875,227,2199,3426,229,2199,11155
DumbartonCtl,9866,HA,120057,97133,28083,139437,97111,28083,509904
DumbartonEast,9868,HA,67321,42614,11028,73768,42619,11028,248378
Dumbreck,9622,HA,18834,13709,4360,24765,13707,4360,79735
Dumfries,9490,HA,12312,59619,2671,13094,59399,2671,149766
DumptonPark,5034,HU,2305,4891,2103,2683,5707,2103,19792
Dunbar,9397,HB,11322,43525,28442,11036,46781,28442,169548
Dunblane,8713,HA,67807,56032,29562,68650,56037,29562,307650
Dunbridge,5944,HK,2026,1884,729,2293,1976,729,9637
Duncraig,8682,HA,93,54,0,124,54,0,325
Dundee,9039,HA,107391,318641,57571,106294,317882,57571,965350
Dunfermline,9186,HA,59640,58335,74484,65465,58328,74484,390736
Dunkeld,8763,HA,2088,3121,237,2570,3130,237,11383
Dunlop,9492,HA,10681,10452,6036,12024,10445,6036,55674
DunrobinCastle,8642,HA,84,23,0,265,23,0,395
Dunston,7744,HC,21,26,0,78,21,0,146
DuntonGreen,5102,HU,1142,1271,8143,1699,3062,8143,23460
Durham,7745,HB,151520,375244,63968,160461,374734,63968,1189895
Durrington,5282,HW,36638,75515,90187,36780,75758,90187,405065
Dyce,8905,HA,77933,22078,13865,78384,22078,13865,228203
DyffrynArdudwy,4455,HG,2193,2966,1210,2456,3128,1210,13163
Eaglescliffe,7916,HC,8897,6342,7537,11016,6351,7537,47680
EalingBroadway,3190,HN,112552,846689,1177786,105033,840112,1177786,4259958
Earlestown,2292,HD,29855,42439,8957,28845,42440,8957,161493
Earley,5694,HY,46714,48567,49962,46110,49403,49962,290718
Earlsfield,5584,HY,161753,252856,441865,89663,270630,441865,1658632
EarlswoodSurrey,5414,HW,6650,4128,33284,5603,7356,33284,90305
EarlswoodWMid,4520,HG,3454,9654,15964,3606,9648,15964,58290
EastBoldon,7746,HC,26291,31112,1231,36184,16909,1231,112958
EastCroydon,5355,HW,814395,2233357,2290832,885903,2249114,2290832,10764433
EastDidsbury,2949,HD,14633,20326,8261,14375,22037,8261,87893
EastDulwich,5358,HW,25328,43879,106021,13739,50666,106021,345654
EastFarleigh,5234,HU,2191,3347,899,2457,3548,899,13341
EastGarforth,8472,HC,49223,22113,4316,41798,21511,4316,143277
EastGrinstead,5486,HW,42644,168740,194797,31587,179752,194797,812317
EastKilbride,9793,HA,118985,83422,31043,120290,83448,31043,468231
EastMalling,5134,HU,5296,12997,16116,4511,18733,16116,73769
EastTilbury,7471,HT,24997,36009,64947,26730,37664,64947,255294
EastWorthing,5283,HW,12597,22987,78187,22124,25719,78187,239801
Eastbourne,5448,HW,102404,575149,235352,96561,580456,235352,1825274
Eastbrook,3795,HL,19388,31687,12638,20865,31682,12638,128898
Easterhouse,9894,HA,48915,23858,24142,47506,23858,24142,192421
EasthamRake,2128,HE,21366,30878,387,13819,26910,387,93747
Eastleigh,5899,HY,100619,176202,138807,96166,178159,138807,828760
Eastrington,8114,HC,438,63,291,486,63,291,1632
EcclesManchr,2950,HD,12158,22054,8970,11680,24553,8970,88385
EcclesRoad,7370,HG,288,222,228,344,222,228,1532
EcclestonPark,2227,HD,5909,8770,191,5444,9043,191,29548
Edale,2824,HD,8059,15205,324,9111,15268,324,48291
EdenPark,5056,HU,22690,26044,78123,15507,31216,78123,251703
Edenbridge,5473,HW,15100,38947,23603,16953,48394,23603,166600
EdenbridgeTown,5359,HW,6290,9707,33227,3506,9124,33227,95081
EdgeHill,2169,HD,8169,9222,323,10054,10461,323,38552
Edinburgh,9328,HB,1459574,2400453,986445,1474304,2380878,986445,9688099
EffinghamJn,5642,HY,26096,35531,60538,14677,47221,60538,244601
Eggesford,5822,HK,2113,3928,9714,2646,3932,9714,32047
Egham,5669,HY,96852,267993,185652,94146,272830,185652,1103125
Egton,7918,HC,1126,1010,7071,1271,1010,7071,18559
Elephant&Cstle,5246,HU,33724,57810,40706,54482,46155,40706,273583
Elgin,8977,HA,34425,32838,6638,36013,32862,6638,149414
EllesmerePort,2121,HE,44192,33247,7794,56133,33428,7794,182588
ElmersEnd,5049,HU,27134,34398,154986,15890,42281,154986,429675
ElmsteadWoods,5135,HU,50372,72830,226664,29882,82969,226664,689381
Elmswell,7349,HS,5903,1192,419,5534,1197,419,14664
Elsecar,6667,HC,19943,35184,5363,20298,34421,5363,120572
ElsenhamEssex,6832,HQ,14472,19510,64629,12835,23951,64629,200026
Elstree,1542,HX,67516,243091,308381,59877,258421,308381,1245667
Eltham,5103,HU,119831,188561,459953,69376,215304,459953,1512978
Elton&Orston,6238,HG,57,3,0,56,3,0,119
Ely,7068,HQ,87169,124034,72631,88688,125554,72631,570707
EmersonPark,7473,HR,856,1041,2474,4685,1155,2474,12685
Emsworth,5257,HW,23821,38656,26574,24670,42059,26574,182354
EnfieldChase,6010,HQ,52014,58156,192349,20543,56789,192349,572200
EnfieldLock,6815,HQ,25034,24730,64578,26465,24947,64578,230332
EnfieldTown,6959,HQ,94282,120677,213576,81887,122081,213576,846079
Entwistle,2747,HD,1296,3100,206,1105,3132,206,9045
Epsom,5360,HW,197050,396197,426707,195307,412317,426707,2054285
EpsomDowns,5361,HW,1775,4491,5464,1189,6492,5464,24875
Erdington,1041,HG,50378,51287,5087,51855,51349,5087,215043
Eridge,5459,HW,1965,2389,4555,1273,3365,4555,18102
Erith,5104,HU,30543,49747,112204,17212,54441,112204,376351
Esher,5558,HY,61759,101321,123615,60452,101446,123615,572208
EssexRd,6004,HQ,20552,7635,32408,14465,7365,32408,114833
Etchingham,5217,HU,9142,26775,57122,7245,30249,57122,187655
Etruria,1294,HG,3763,783,876,4225,801,876,11324
EuxtonBalshawLane,2080,HD,2992,950,311,3310,966,311,8840
Evesham,4740,HN,24622,53334,14183,25180,53596,14183,185098
EwellEast,5415,HW,29392,43942,81332,34018,45532,81332,315548
EwellWest,5586,HY,46451,69347,149198,32868,80530,149198,527592
ExeterCentral,5755,HK,81279,225771,180016,75065,219231,180016,961378
ExeterStDavids,3410,HJ,136064,445746,108982,135340,447302,108982,1382416
ExeterStThomas,3414,HK,5683,7596,3441,5380,7597,3441,33138
ExhibCtrGlasgw,9914,HA,62085,77985,14214,60666,79232,14214,308396
Exmouth,5756,HK,53097,148328,66779,58826,149537,66779,543346
Exton,5760,HK,1693,2506,1064,1967,2505,1064,10799
Eynsford,5065,HU,8829,12715,23765,4736,18010,23765,91820
Failsworth,2951,HD,7655,13830,2952,8128,15785,2952,51302
Fairbourne,4416,HG,8464,9404,2170,8068,9278,2170,39554
Fairfield,2780,HD,1087,905,944,1247,1193,944,6320
Fairlie,9452,HA,7847,4188,2121,8990,4197,2121,29464
Fairwater,3873,HL,2396,3255,2841,2734,3257,2841,17324
Falconwood,5137,HU,45854,52286,193520,25976,62278,193520,573434
FalkirkGhston,9930,HA,125261,125965,88859,166421,126045,88859,721410
FalkirkHigh,9931,HA,44408,72852,74849,23223,72671,88859,376862
FallsOfCruacha,8726,HA,45,16,0,19,16,0,96
Falmer,5337,HW,58992,244395,45821,56610,238107,45821,689746
FalmouthDocks,3508,HK,3565,8585,5,4486,8409,5,25055
FalmouthTown,3591,HK,14109,20247,26,15258,20600,26,70266
Fambridge,6875,HR,2254,5551,38849,2464,6178,38849,94145
Fareham,5900,HY,123263,211738,133156,124088,214914,133156,940315
FarnboroughMain,5521,HY,189718,288829,386580,183502,300324,386580,1735533
FarnboroughN,5688,HN,246,363,1358,268,364,1358,3957
Farncombe,5643,HY,61481,70631,92782,56428,72855,92782,446959
Farnham,5545,HY,90443,195151,200833,86193,206905,200833,980358
FarninghamRoad,5105,HU,10630,21359,57400,7228,26852,57400,180869
Farnworth,2811,HD,3069,6265,573,2751,6835,573,20066
Fauldhouse,9245,HA,7730,5224,1351,8389,5223,1351,29268
Faversham,5167,HU,68734,191397,301307,62960,196632,301307,1122337
Faygate,5493,HW,330,328,261,482,357,261,2019
Fazakerley,2126,HE,36889,63362,972,41264,72293,972,215752
Fearn,8637,HA,243,176,0,227,176,0,822
Featherstone,8544,HC,11258,11694,0,10990,10631,0,44573
Felixstowe,7214,HS,16472,31830,4739,17341,32216,4739,107337
Feltham,5559,HY,89146,190615,146822,81563,197076,146822,852044
Feniton,5808,HY,5602,13411,9214,5877,12616,9214,55934
FennyStratford,1377,HP,2395,6828,4682,2956,6851,4682,28394
Fernhill,3862,HL,3196,5847,1399,2863,5847,1399,20551
Ferriby,8061,HC,19194,1465,5132,21582,1466,5132,53971
Ferryside,4074,HK,2661,2847,1690,2984,2848,1690,14720
Ffairfach,4066,HK,420,468,0,450,475,0,1813
Filey,8062,HC,17249,34638,7717,19003,34639,7717,120963
Filton,3235,HK,59345,17061,109915,59302,16855,109915,372393
