 RODS report2d created at 13:27:39 on 29-03-2017,,,,,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
" Report 2d - Analysis by age, sex and exit station",,,,,,Sex,Age,,,,,,,,,
 NLC, station name,time period,Total,Male,Female,Not stated,Not Stated,Under 16  ,16-19     ,20-24     ,25-34     ,35-44     ,45-59     ,60-64     ,65-70     ,Over 70   
539,Chalfont & Latimer  ,PM Peak     ,549,337,212,0,0,0,52,81,71,78,185,37,9,37
539,Chalfont & Latimer  ,Evening     ,431,270,134,27,27,0,0,15,32,87,210,40,19,0
539,Chalfont & Latimer  ,Late        ,242,25,80,136,136,0,0,0,57,12,14,22,0,0
539,Chalfont & Latimer  ,   Total day,1428,759,491,177,209,3,78,108,161,190,458,128,45,47
540,Chalk Farm          ,Early       ,73,0,0,73,73,0,0,0,0,0,0,0,0,0
540,Chalk Farm          ,AM peak     ,1550,512,903,135,138,0,0,264,214,429,457,47,1,1
540,Chalk Farm          ,Midday      ,1764,540,1121,103,87,0,86,343,451,246,289,115,114,32
540,Chalk Farm          ,PM Peak     ,1965,658,1165,142,142,0,11,375,352,258,448,171,60,150
540,Chalk Farm          ,Evening     ,1684,502,1107,74,74,14,39,349,732,246,166,40,25,0
540,Chalk Farm          ,Late        ,643,108,239,297,207,0,39,94,194,50,58,0,1,0
540,Chalk Farm          ,   Total day,7680,2321,4535,824,721,14,174,1425,1943,1229,1418,372,201,182
541,Chancery Lane       ,Early       ,931,1,0,929,929,0,0,0,0,0,1,1,0,0
541,Chancery Lane       ,AM peak     ,17975,7028,9731,1216,1038,10,428,2485,5111,3864,3291,1379,242,127
541,Chancery Lane       ,Midday      ,10325,5293,4663,370,381,0,179,1878,3060,1663,2139,447,327,252
541,Chancery Lane       ,PM Peak     ,3501,1564,1743,194,191,0,165,444,722,651,805,375,147,2
541,Chancery Lane       ,Evening     ,969,424,441,103,122,0,0,226,392,70,137,22,0,0
541,Chancery Lane       ,Late        ,212,38,102,71,71,0,0,46,49,6,21,0,17,0
541,Chancery Lane       ,   Total day,33913,14348,16681,2884,2732,10,773,5080,9335,6254,6394,2223,733,380
718,Charing Cross       ,Early       ,353,0,0,353,353,0,0,0,0,0,0,0,0,0
718,Charing Cross       ,AM peak     ,5239,2191,2694,354,355,2,24,565,1245,853,1457,487,117,135
718,Charing Cross       ,Midday      ,7281,2958,4247,76,130,0,400,1322,933,966,1625,768,461,676
718,Charing Cross       ,PM Peak     ,9911,4341,5170,400,258,20,307,1478,1687,1754,2700,977,319,410
718,Charing Cross       ,Evening     ,3495,1461,1878,156,97,0,97,594,788,707,941,210,55,6
718,Charing Cross       ,Late        ,1342,413,638,291,291,0,0,279,291,210,244,0,21,6
718,Charing Cross       ,   Total day,27620,11364,14628,1629,1483,23,828,4237,4945,4489,6969,2441,973,1233
543,Chesham             ,Early       ,6,0,0,6,6,0,0,0,0,0,0,0,0,0
543,Chesham             ,AM peak     ,272,83,95,94,51,0,1,37,70,5,108,0,0,0
543,Chesham             ,Midday      ,191,109,81,1,13,0,6,8,10,42,51,16,44,1
543,Chesham             ,PM Peak     ,764,427,296,41,39,0,10,7,130,156,352,45,6,19
543,Chesham             ,Evening     ,437,267,169,1,1,0,0,149,54,44,181,6,1,3
543,Chesham             ,Late        ,165,77,8,79,79,0,0,0,26,29,23,8,0,0
543,Chesham             ,   Total day,1834,963,649,222,190,0,17,201,290,275,714,74,50,23
544,Chigwell            ,Early       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,Chigwell            ,AM peak     ,169,133,13,23,23,0,0,0,0,90,56,0,0,0
544,Chigwell            ,Midday      ,103,100,3,0,0,0,0,0,10,0,63,30,0,0
544,Chigwell            ,PM Peak     ,317,177,116,24,24,0,0,71,1,21,73,101,0,25
544,Chigwell            ,Evening     ,195,65,42,88,88,0,0,28,5,15,1,0,58,0
544,Chigwell            ,Late        ,8,8,0,0,0,0,0,0,0,0,0,8,0,0
544,Chigwell            ,   Total day,792,483,174,135,135,0,0,98,16,127,194,139,58,25
545,Chiswick Park       ,Early       ,44,0,0,44,44,0,0,0,0,0,0,0,0,0
545,Chiswick Park       ,AM peak     ,1243,531,554,157,149,0,0,205,425,203,164,48,45,3
545,Chiswick Park       ,Midday      ,733,396,337,0,0,7,0,26,69,165,211,171,76,8
545,Chiswick Park       ,PM Peak     ,1090,416,603,72,70,0,27,40,377,201,312,38,2,24
545,Chiswick Park       ,Evening     ,666,223,388,55,51,0,0,84,211,191,96,15,0,17
545,Chiswick Park       ,Late        ,276,67,68,141,141,0,0,3,75,50,7,0,0,0
545,Chiswick Park       ,   Total day,4052,1634,1950,468,455,7,27,357,1159,811,789,273,123,52
546,Chorleywood         ,Early       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,Chorleywood         ,AM peak     ,36,5,19,13,13,0,3,0,8,7,0,0,5,0
546,Chorleywood         ,Midday      ,230,120,91,19,0,3,17,0,1,4,37,98,26,45
546,Chorleywood         ,PM Peak     ,334,138,165,31,19,0,38,11,21,178,47,14,4,2
546,Chorleywood         ,Evening     ,393,154,188,51,74,0,2,33,40,59,91,80,14,0
546,Chorleywood         ,Late        ,252,4,75,174,174,0,4,0,0,0,46,0,28,0
546,Chorleywood         ,   Total day,1246,421,536,288,280,3,64,44,71,248,221,191,77,47
547,Clapham Common      ,Early       ,190,0,0,190,190,0,0,0,0,0,0,0,0,0
547,Clapham Common      ,AM peak     ,2275,876,987,412,398,0,65,128,390,306,589,144,230,23
547,Clapham Common      ,Midday      ,2771,620,1736,415,448,0,152,550,408,384,356,81,307,83
547,Clapham Common      ,PM Peak     ,5363,1488,3399,477,474,0,105,690,1987,1303,623,132,28,20
547,Clapham Common      ,Evening     ,3905,1512,2308,85,144,0,17,819,1707,731,368,86,28,5
547,Clapham Common      ,Late        ,1867,805,495,567,561,0,0,294,389,138,413,71,1,0
547,Clapham Common      ,   Total day,16371,5301,8924,2146,2215,0,340,2482,4881,2863,2350,515,595,132
548,Clapham North       ,Early       ,154,5,0,150,150,0,0,0,0,0,5,0,0,0
548,Clapham North       ,AM peak     ,1255,612,528,116,112,0,0,52,306,187,347,199,51,0
548,Clapham North       ,Midday      ,1679,454,1117,108,116,0,24,245,755,226,150,54,3,105
548,Clapham North       ,PM Peak     ,3854,1004,2738,112,112,7,36,593,1538,848,480,75,167,0
548,Clapham North       ,Evening     ,3141,880,2156,105,97,0,4,1176,1414,304,140,7,0,0
548,Clapham North       ,Late        ,1484,329,545,610,599,0,0,226,419,132,105,2,0,0
548,Clapham North       ,   Total day,11566,3283,7082,1201,1185,7,64,2292,4432,1697,1227,336,221,106
549,Clapham South       ,Early       ,117,0,0,117,117,0,0,0,0,0,0,0,0,0
549,Clapham South       ,AM peak     ,1795,365,1048,382,372,5,181,257,360,284,185,143,7,0
549,Clapham South       ,Midday      ,2041,799,1226,16,10,8,116,307,398,269,663,83,77,111
549,Clapham South       ,PM Peak     ,4712,1448,3117,146,250,0,29,647,1584,796,1236,47,121,2
549,Clapham South       ,Evening     ,4005,1782,2110,114,105,0,6,635,1487,874,852,22,15,10
549,Clapham South       ,Late        ,1693,493,582,618,645,0,1,222,458,157,181,25,2,0
549,Clapham South       ,   Total day,14362,4887,8083,1392,1498,13,333,2067,4287,2381,3117,320,223,123
550,Cockfosters         ,Early       ,28,0,0,28,28,0,0,0,0,0,0,0,0,0
550,Cockfosters         ,AM peak     ,392,81,188,123,123,0,20,0,50,33,104,52,2,8
550,Cockfosters         ,Midday      ,660,302,218,140,118,0,80,43,168,60,81,36,56,19
550,Cockfosters         ,PM Peak     ,1133,497,430,206,222,0,42,37,36,223,326,118,10,120
550,Cockfosters         ,Evening     ,576,128,379,69,71,7,31,64,70,69,210,14,37,3
550,Cockfosters         ,Late        ,351,147,54,150,150,0,0,11,29,79,60,20,2,0
550,Cockfosters         ,   Total day,3140,1155,1269,716,712,7,173,155,352,464,780,241,107,150
551,Colindale           ,Early       ,162,0,0,162,162,0,0,0,0,0,0,0,0,0
551,Colindale           ,AM peak     ,1812,586,703,523,524,0,12,98,504,156,431,55,26,7
551,Colindale           ,Midday      ,1649,788,631,230,231,0,4,309,455,157,316,82,85,10
551,Colindale           ,PM Peak     ,3547,1067,1942,538,518,0,131,402,1107,486,705,144,13,43
551,Colindale           ,Evening     ,1938,458,1118,362,326,0,36,446,634,272,181,42,0,0
551,Colindale           ,Late        ,952,118,164,670,631,39,0,59,112,100,8,3,1,0
551,Colindale           ,   Total day,10059,3017,4557,2485,2391,39,184,1314,2811,1170,1640,326,125,60
552,Colliers Wood       ,Early       ,168,0,0,168,168,0,0,0,0,0,0,0,0,0
552,Colliers Wood       ,AM peak     ,953,349,442,162,105,0,1,108,207,114,232,22,66,98
552,Colliers Wood       ,Midday      ,1826,532,1117,177,197,0,71,356,284,250,367,75,109,117
552,Colliers Wood       ,PM Peak     ,3974,1332,1769,873,863,0,26,487,887,625,969,10,53,53
552,Colliers Wood       ,Evening     ,2286,867,1160,258,239,0,0,281,708,671,378,7,2,0
552,Colliers Wood       ,Late        ,1157,491,309,357,308,0,0,145,442,130,106,0,5,21
552,Colliers Wood       ,   Total day,10364,3571,4798,1995,1882,0,97,1377,2528,1790,2052,114,236,288
553,Covent Garden       ,Early       ,322,0,0,322,322,0,0,0,0,0,0,0,0,0
553,Covent Garden       ,AM peak     ,4346,1682,2349,316,330,0,41,477,1146,1035,1030,207,51,28
553,Covent Garden       ,Midday      ,9605,2599,6524,483,490,55,761,1398,2020,1602,1769,592,667,250
553,Covent Garden       ,PM Peak     ,6496,1648,4250,598,537,2,206,1064,1047,849,1909,408,324,151
553,Covent Garden       ,Evening     ,2346,808,1076,463,442,0,15,410,545,397,334,46,76,81
553,Covent Garden       ,Late        ,414,109,138,167,167,0,0,2,151,0,63,0,0,31
553,Covent Garden       ,   Total day,23530,6845,14336,2348,2288,57,1023,3351,4909,3883,5106,1253,1118,541
554,Croxley             ,Early       ,20,0,0,20,20,0,0,0,0,0,0,0,0,0
554,Croxley             ,AM peak     ,334,192,62,80,80,0,6,15,94,57,84,0,0,0
554,Croxley             ,Midday      ,191,70,86,36,15,0,0,10,52,7,74,19,13,0
554,Croxley             ,PM Peak     ,668,271,375,22,9,0,1,0,146,124,287,101,0,0
554,Croxley             ,Evening     ,459,257,194,8,8,2,0,5,80,86,267,11,0,0
554,Croxley             ,Late        ,45,1,35,8,8,1,0,0,0,0,35,0,0,0
554,Croxley             ,   Total day,1718,791,754,173,139,4,7,31,372,274,747,131,13,0
555,Dagenham East       ,Early       ,58,0,0,58,58,0,0,0,0,0,0,0,0,0
555,Dagenham East       ,AM peak     ,648,121,438,90,90,0,2,167,136,105,120,21,9,0
555,Dagenham East       ,Midday      ,856,230,584,42,40,0,10,115,102,225,250,103,3,7
555,Dagenham East       ,PM Peak     ,2012,456,1402,154,50,66,130,412,125,642,518,30,0,39
555,Dagenham East       ,Evening     ,967,546,395,26,26,0,89,35,173,152,481,12,0,0
555,Dagenham East       ,Late        ,311,160,34,117,117,0,0,0,4,120,70,0,0,0
555,Dagenham East       ,   Total day,4853,1513,2853,487,381,66,231,728,539,1244,1439,166,12,46
556,Dagenham Heathway   ,Early       ,125,0,0,125,125,0,0,0,0,0,0,0,0,0
556,Dagenham Heathway   ,AM peak     ,1187,480,530,177,177,0,185,78,109,187,262,27,42,120
556,Dagenham Heathway   ,Midday      ,2206,583,1175,447,426,0,126,44,201,275,521,396,152,65
556,Dagenham Heathway   ,PM Peak     ,3722,887,1040,1795,1788,28,56,362,373,291,592,166,32,35
556,Dagenham Heathway   ,Evening     ,1912,615,429,867,895,0,0,47,332,293,289,17,31,7
556,Dagenham Heathway   ,Late        ,597,103,91,403,403,0,0,24,97,36,37,0,0,0
556,Dagenham Heathway   ,   Total day,9748,2669,3265,3814,3814,28,367,554,1113,1082,1700,605,258,227
557,Debden              ,Early       ,78,0,0,78,78,0,0,0,0,0,0,0,0,0
557,Debden              ,AM peak     ,999,337,468,193,193,0,200,71,193,63,102,75,101,0
557,Debden              ,Midday      ,801,183,598,21,21,0,131,6,139,47,387,19,48,2
557,Debden              ,PM Peak     ,1472,774,642,57,123,0,200,69,282,229,281,136,97,55
557,Debden              ,Evening     ,561,244,251,67,64,0,0,144,190,66,97,0,0,0
557,Debden              ,Late        ,27,27,0,0,0,0,0,0,0,0,27,0,0,0
557,Debden              ,   Total day,3938,1564,1959,415,479,0,531,290,804,405,895,230,246,57
558,Dollis Hill         ,Early       ,118,0,0,118,118,0,0,0,0,0,0,0,0,0
558,Dollis Hill         ,AM peak     ,1030,344,514,172,172,0,56,57,265,180,166,134,0,0
558,Dollis Hill         ,Midday      ,1267,388,798,81,81,0,122,127,278,171,229,82,163,13
558,Dollis Hill         ,PM Peak     ,2113,426,1682,5,72,0,118,358,345,443,688,31,50,7
558,Dollis Hill         ,Evening     ,1151,446,678,27,27,0,22,198,521,151,232,0,0,0
558,Dollis Hill         ,Late        ,666,385,215,67,67,0,120,0,126,64,147,141,0,0
558,Dollis Hill         ,   Total day,6346,1989,3887,470,538,0,439,741,1535,1010,1462,389,214,20
560,Ealing Broadway     ,Early       ,541,9,2,530,530,0,9,2,0,0,0,0,0,0
560,Ealing Broadway     ,AM peak     ,4672,1712,2018,941,889,40,341,507,1306,486,738,197,164,4
560,Ealing Broadway     ,Midday      ,5907,2146,3359,402,348,0,481,1209,1009,819,1230,415,179,217
560,Ealing Broadway     ,PM Peak     ,14484,5530,8567,386,493,51,745,2781,3084,2811,3522,560,257,178
560,Ealing Broadway     ,Evening     ,6510,2597,3497,416,377,0,143,815,2155,1505,1338,105,38,34
560,Ealing Broadway     ,Late        ,2521,1009,765,746,737,0,10,365,786,138,443,10,30,1
560,Ealing Broadway     ,   Total day,34635,13004,18209,3421,3374,91,1731,5680,8340,5759,7271,1287,668,434
561,Ealing Common       ,Early       ,82,4,0,78,78,0,0,0,0,0,4,0,0,0
561,Ealing Common       ,AM peak     ,977,239,567,171,161,0,49,72,114,111,321,118,0,30
561,Ealing Common       ,Midday      ,773,447,281,44,44,0,67,68,130,34,67,112,173,77
561,Ealing Common       ,PM Peak     ,1727,490,1038,199,166,66,65,110,655,304,269,77,11,5
561,Ealing Common       ,Evening     ,974,483,445,46,35,0,5,55,273,196,289,67,22,33
561,Ealing Common       ,Late        ,421,156,149,117,118,0,0,87,69,71,13,50,13,0
561,Ealing Common       ,   Total day,4953,1818,2481,655,603,66,186,392,1239,717,964,424,219,144
562,Earl's Court        ,Early       ,770,0,1,768,768,0,0,0,0,0,2,0,0,0
562,Earl's Court        ,AM peak     ,6401,2002,3563,836,865,0,44,766,1684,1290,1309,278,72,93
562,Earl's Court        ,Midday      ,7499,3237,3372,890,995,0,334,1334,1432,955,1338,424,377,309
562,Earl's Court        ,PM Peak     ,6912,2661,3809,442,446,11,455,1061,1694,1105,1225,308,514,94
562,Earl's Court        ,Evening     ,5286,1842,2483,961,891,0,201,691,1333,1001,682,292,43,153
562,Earl's Court        ,Late        ,2934,1207,920,807,735,0,7,443,1095,196,293,163,0,2
562,Earl's Court        ,   Total day,29802,10949,14149,4705,4701,11,1041,4295,7237,4547,4849,1465,1007,651
563,East Acton          ,Early       ,129,0,1,129,129,0,0,0,0,0,1,0,0,0
563,East Acton          ,AM peak     ,1332,498,689,145,114,0,53,69,226,354,320,116,17,62
563,East Acton          ,Midday      ,1336,450,843,43,33,12,15,241,153,265,375,26,93,123
563,East Acton          ,PM Peak     ,1881,610,1091,181,181,46,58,257,443,259,575,42,0,21
563,East Acton          ,Evening     ,1177,377,774,26,26,0,0,372,417,138,221,1,1,0
563,East Acton          ,Late        ,704,306,285,113,113,0,0,308,175,41,63,0,0,5
563,East Acton          ,   Total day,6560,2241,3683,636,596,57,127,1247,1413,1056,1555,184,112,212
565,East Finchley       ,Early       ,80,0,0,80,80,0,0,0,0,0,0,0,0,0
565,East Finchley       ,AM peak     ,1444,449,628,367,352,0,9,33,286,416,214,8,103,23
565,East Finchley       ,Midday      ,1970,622,1310,38,39,0,60,254,280,480,467,87,176,127
565,East Finchley       ,PM Peak     ,4582,2248,2287,46,107,10,90,1490,1290,676,638,153,94,34
565,East Finchley       ,Evening     ,3034,1039,1929,66,57,14,25,680,620,454,1068,95,21,0
565,East Finchley       ,Late        ,1368,384,545,439,496,26,0,283,232,134,184,6,4,4
565,East Finchley       ,   Total day,12478,4742,6699,1036,1131,51,184,2740,2710,2159,2570,349,398,187
566,East Ham            ,Early       ,266,0,0,265,265,0,0,0,0,0,0,0,0,0
566,East Ham            ,AM peak     ,2151,719,1211,221,238,0,42,249,399,174,808,235,6,0
566,East Ham            ,Midday      ,4512,2295,1435,782,863,27,322,912,1162,329,732,89,40,37
566,East Ham            ,PM Peak     ,9215,2644,2934,3636,3626,24,612,1222,2134,454,866,124,132,21
566,East Ham            ,Evening     ,4955,2115,859,1981,1990,0,65,892,1290,310,407,1,0,0
566,East Ham            ,Late        ,2106,470,244,1392,1392,0,5,73,461,43,130,1,0,1
566,East Ham            ,   Total day,23204,8244,6682,8278,8374,50,1047,3347,5446,1309,2943,450,178,60
567,East Putney         ,Early       ,126,0,0,126,126,0,0,0,0,0,0,0,0,0
567,East Putney         ,AM peak     ,1798,444,1068,286,250,50,29,243,450,299,345,43,57,32
567,East Putney         ,Midday      ,1563,554,1007,2,58,0,35,246,274,284,464,79,99,24
567,East Putney         ,PM Peak     ,3454,1297,2122,35,41,35,33,205,1175,842,774,239,101,8
567,East Putney         ,Evening     ,2302,860,1325,117,206,0,18,400,730,387,533,16,1,12
567,East Putney         ,Late        ,1010,304,407,299,306,0,33,67,285,163,145,10,0,0
567,East Putney         ,   Total day,10254,3460,5928,866,987,85,148,1161,2913,1975,2262,388,259,76
564,Eastcote            ,Early       ,39,0,0,39,39,0,0,0,0,0,0,0,0,0
564,Eastcote            ,AM peak     ,415,177,103,136,121,0,19,11,109,92,38,20,0,5
564,Eastcote            ,Midday      ,1030,423,605,2,19,0,134,83,136,85,287,79,110,97
564,Eastcote            ,PM Peak     ,2187,712,1441,34,8,0,116,202,244,538,883,102,34,61
564,Eastcote            ,Evening     ,1006,531,461,14,5,17,21,107,158,226,280,166,26,0
564,Eastcote            ,Late        ,287,31,131,125,125,0,0,58,10,26,55,3,6,3
564,Eastcote            ,   Total day,4963,1874,2739,350,316,17,289,462,656,966,1543,371,176,166
568,Edgware             ,Early       ,93,0,0,93,93,0,0,0,0,0,0,0,0,0
568,Edgware             ,AM peak     ,949,260,532,156,149,10,86,81,234,181,115,2,91,0
568,Edgware             ,Midday      ,1998,764,1181,52,46,33,112,273,225,248,482,203,77,298
568,Edgware             ,PM Peak     ,3159,1445,1638,76,85,0,100,477,363,485,1066,363,130,91
568,Edgware             ,Evening     ,1635,949,612,75,95,0,16,363,396,244,382,62,63,15
568,Edgware             ,Late        ,533,307,126,100,100,0,0,96,49,84,123,32,50,0
568,Edgware             ,   Total day,8366,3726,4089,552,568,43,314,1290,1267,1241,2167,661,411,405
774,Edgware Road (Bak)  ,Early       ,177,0,0,177,177,0,0,0,0,0,0,0,0,0
774,Edgware Road (Bak)  ,AM peak     ,3158,1526,1314,319,335,0,195,389,541,662,723,100,170,43
774,Edgware Road (Bak)  ,Midday      ,2115,1031,1014,70,41,26,81,346,540,340,471,122,48,101
774,Edgware Road (Bak)  ,PM Peak     ,1317,668,446,203,203,0,0,102,245,252,459,52,0,2
774,Edgware Road (Bak)  ,Evening     ,804,326,197,281,281,0,1,88,195,148,90,0,0,0
774,Edgware Road (Bak)  ,Late        ,437,85,88,264,284,0,0,0,67,61,15,1,9,0
774,Edgware Road (Bak)  ,   Total day,8008,3636,3058,1314,1321,26,277,924,1589,1463,1759,275,227,147
569,Edgware Road (Cir)  ,Early       ,242,0,0,242,242,0,0,0,0,0,0,0,0,0
569,Edgware Road (Cir)  ,AM peak     ,4105,1419,2079,607,595,0,70,429,917,963,881,130,97,23
569,Edgware Road (Cir)  ,Midday      ,2844,1083,1611,150,154,0,89,341,629,514,739,97,111,171
569,Edgware Road (Cir)  ,PM Peak     ,2294,894,1400,0,138,18,0,364,692,342,441,130,92,77
569,Edgware Road (Cir)  ,Evening     ,1064,522,481,61,41,0,0,193,393,247,160,7,4,18
569,Edgware Road (Cir)  ,Late        ,407,117,76,214,192,0,0,66,42,68,38,2,0,0
569,Edgware Road (Cir)  ,   Total day,10956,4035,5646,1274,1363,18,159,1393,2672,2134,2259,367,303,288
570,Elephant & Castle   ,Early       ,591,4,0,587,587,0,0,0,4,0,0,0,0,0
570,Elephant & Castle   ,AM peak     ,7134,2554,3883,697,621,3,205,1457,1812,995,1437,461,82,62
570,Elephant & Castle   ,Midday      ,8456,2898,4450,1108,767,0,681,1545,1728,1348,1858,217,262,51
570,Elephant & Castle   ,PM Peak     ,6440,1808,3553,1078,1051,0,183,1275,1273,1201,1361,59,26,9
570,Elephant & Castle   ,Evening     ,4158,1569,1978,610,610,0,300,407,1517,810,444,37,32,0
570,Elephant & Castle   ,Late        ,2517,886,742,890,890,0,78,154,798,342,172,19,64,0
570,Elephant & Castle   ,   Total day,29297,9720,14606,4971,4525,3,1448,4838,7133,4695,5272,793,466,122
571,Elm Park            ,Early       ,39,0,0,39,39,0,0,0,0,0,0,0,0,0
571,Elm Park            ,AM peak     ,255,15,122,118,118,0,0,20,90,12,0,0,15,1
571,Elm Park            ,Midday      ,988,122,583,283,290,0,41,20,110,169,269,3,51,37
571,Elm Park            ,PM Peak     ,2642,899,672,1071,1084,22,135,280,81,298,643,73,7,20
571,Elm Park            ,Evening     ,1000,207,159,633,615,0,0,90,29,39,176,43,7,1
571,Elm Park            ,Late        ,464,11,38,415,407,0,0,0,11,26,12,8,0,0
571,Elm Park            ,   Total day,5388,1254,1575,2559,2553,22,175,410,321,545,1100,127,79,57
542,Embankment          ,Early       ,674,0,0,674,674,0,0,0,0,0,0,0,0,0
542,Embankment          ,AM peak     ,10528,4971,4542,1016,899,0,21,831,2877,2105,3064,572,116,44
542,Embankment          ,Midday      ,9809,5246,4175,388,598,10,325,1149,1466,1325,2302,807,889,938
542,Embankment          ,PM Peak     ,9416,4154,4812,450,569,0,67,892,1432,1551,3089,707,819,289
542,Embankment          ,Evening     ,2833,1513,1250,70,44,48,208,309,825,415,715,99,123,46
542,Embankment          ,Late        ,1188,355,267,566,560,0,0,170,191,103,109,27,27,0
542,Embankment          ,   Total day,34448,16238,15046,3164,3344,58,621,3351,6791,5499,9280,2213,1974,1317
572,Epping              ,Early       ,141,0,1,140,140,0,0,0,0,1,0,0,0,0
572,Epping              ,AM peak     ,685,95,226,364,272,0,12,89,198,69,12,0,1,33
572,Epping              ,Midday      ,967,328,322,318,356,18,11,51,27,61,222,45,39,137
572,Epping              ,PM Peak     ,2657,773,1586,298,290,1,139,366,265,599,678,110,170,40
572,Epping              ,Evening     ,1222,277,440,505,516,0,0,61,146,259,117,22,82,18
572,Epping              ,Late        ,632,157,94,381,357,0,0,11,87,80,72,0,2,22
572,Epping              ,   Total day,6304,1629,2669,2006,1931,19,162,577,723,1069,1101,177,295,250
574,Euston              ,Early       ,1630,8,0,1622,1622,0,0,0,7,0,0,0,0,0
574,Euston              ,AM peak     ,15201,6870,7110,1221,1149,11,176,1493,3088,3109,3337,1813,698,327
574,Euston              ,Midday      ,19447,8481,9901,1065,1112,0,1114,3790,2226,2641,4609,1959,1321,675
574,Euston              ,PM Peak     ,17684,8840,8393,450,299,57,873,1869,3010,3058,5343,1604,1445,128
574,Euston              ,Evening     ,6874,3134,3671,69,103,0,172,756,1201,1573,2488,376,167,38
574,Euston              ,Late        ,2703,997,923,783,760,0,516,140,285,363,584,23,17,14
574,Euston              ,   Total day,63538,28329,29998,5210,5046,67,2850,8048,9817,10744,16362,5774,3648,1182
575,Euston Square       ,Early       ,561,0,0,561,561,0,0,0,0,0,0,0,0,0
575,Euston Square       ,AM peak     ,9154,4010,4375,769,710,0,125,997,1803,1766,2193,1011,431,118
575,Euston Square       ,Midday      ,7125,3276,3385,463,468,0,578,1594,1204,869,1570,202,333,308
575,Euston Square       ,PM Peak     ,6069,2968,2785,316,490,0,327,619,1081,1155,1909,201,191,96
575,Euston Square       ,Evening     ,1554,694,778,82,82,0,31,225,296,425,353,111,10,21
575,Euston Square       ,Late        ,392,279,46,67,67,0,0,66,72,1,127,48,11,0
575,Euston Square       ,   Total day,24855,11227,11370,2258,2378,0,1060,3500,4455,4216,6152,1574,976,542
576,Fairlop             ,Early       ,20,0,0,20,20,0,0,0,0,0,0,0,0,0
576,Fairlop             ,AM peak     ,201,1,144,57,57,0,11,0,131,1,2,0,0,0
576,Fairlop             ,Midday      ,279,49,58,172,172,0,2,38,44,15,7,0,0,1
576,Fairlop             ,PM Peak     ,765,134,584,47,47,0,8,250,153,77,124,100,7,0
576,Fairlop             ,Evening     ,403,163,154,85,90,0,0,74,93,4,134,0,8,0
576,Fairlop             ,Late        ,123,17,37,70,70,0,0,0,22,23,9,0,0,0
576,Fairlop             ,   Total day,1792,363,978,450,455,0,22,362,442,120,275,100,15,1
577,Farringdon          ,Early       ,729,3,3,723,723,0,0,0,3,0,0,3,0,0
577,Farringdon          ,AM peak     ,14977,6586,7421,971,897,0,107,1786,4368,2779,3578,954,292,217
577,Farringdon          ,Midday      ,6406,2876,3094,436,387,5,166,1224,1129,980,1554,525,230,206
577,Farringdon          ,PM Peak     ,5628,3272,2262,94,20,14,27,543,1046,1251,2026,494,110,97
577,Farringdon          ,Evening     ,1709,893,583,234,215,0,69,74,261,294,655,61,65,15
577,Farringdon          ,Late        ,647,295,99,253,246,2,17,223,22,48,14,47,28,0
577,Farringdon          ,   Total day,30097,13924,13461,2712,2489,21,386,3849,6830,5352,7828,2084,725,534
578,Finchley Central    ,Early       ,82,0,0,82,82,0,0,0,0,0,0,0,0,0
578,Finchley Central    ,AM peak     ,1897,653,1020,223,223,0,31,220,450,354,279,195,144,0
578,Finchley Central    ,Midday      ,2197,948,1046,203,220,7,327,419,276,246,353,125,123,102
578,Finchley Central    ,PM Peak     ,4027,1821,2135,70,71,50,265,523,665,783,973,232,412,52
578,Finchley Central    ,Evening     ,2242,717,1283,242,212,0,91,188,783,290,632,13,13,20
578,Finchley Central    ,Late        ,1153,457,390,306,306,0,0,245,264,158,171,3,6,0
578,Finchley Central    ,   Total day,11597,4597,5874,1126,1113,57,715,1594,2438,1831,2408,568,697,175
579,Finchley Road       ,Early       ,356,1,0,355,355,0,0,0,0,1,0,0,0,0
579,Finchley Road       ,AM peak     ,3147,1185,1554,408,401,10,55,250,610,459,782,194,226,160
579,Finchley Road       ,Midday      ,3384,1488,1672,224,195,9,138,639,774,357,517,252,201,303
579,Finchley Road       ,PM Peak     ,4682,1656,2763,263,236,0,162,699,1007,833,1105,329,98,213
579,Finchley Road       ,Evening     ,2790,1226,1468,97,98,0,31,407,995,582,565,43,60,9
579,Finchley Road       ,Late        ,902,355,288,260,279,0,28,123,187,102,160,4,12,8
579,Finchley Road       ,   Total day,15261,5911,7744,1606,1564,19,413,2118,3572,2335,3130,823,596,692
580,Finsbury Park       ,Early       ,951,0,6,945,945,0,0,0,6,0,0,0,0,0
580,Finsbury Park       ,AM peak     ,8586,2595,4643,1349,1329,2,174,864,2234,1728,1756,395,57,47
580,Finsbury Park       ,Midday      ,11861,4487,6759,614,361,67,592,2225,2735,2045,2771,321,456,288
580,Finsbury Park       ,PM Peak     ,20181,7190,12018,973,913,103,799,3298,5133,4208,4071,671,841,144
580,Finsbury Park       ,Evening     ,10507,3421,5750,1336,1525,15,284,1531,3143,1704,1863,150,223,68
580,Finsbury Park       ,Late        ,4527,1445,1991,1091,1108,0,32,679,1735,406,460,59,24,22
